title,company,experience,salary,location,skills,posted,job_url,scraped_at,search_text,extracted_skills,city,salary_min_lpa,salary_max_lpa,salary_mid_lpa,exp_min_yrs,exp_max_yrs,exp_mid_yrs,company_type
Data Analyst,Anheuser Busch InBev,2-4 Yrs,4-5 Lacs PA,Bengaluru,"Excel, SAP, Power Bi, Data Extraction, Data Analytics, Data Mining, Data Visualization, Data Cleansing",1 day ago,https://www.naukri.com/job-listings-data-analyst-anheuser-busch-inbev-bengaluru-2-to-4-years-090426009084,2026-04-10 13:01,"Excel, SAP, Power Bi, Data Extraction, Data Analytics, Data Mining, Data Visualization, Data Cleansing  Data Analyst","data analysis, data visualization, excel, power bi",Bengaluru,4.0,5.0,4.5,2.0,4.0,3.0,Other
Data Analyst - 10th April - Virtual Interview - Pan India,Tata Consultancy Services,7-12 Yrs,Not disclosed,"India, Bengaluru, Mumbai (All Areas)","Power Bi, Tableau, Data Analytics, Bi, Interviewing, Data analysis, Pan, Analytics",1 day ago,https://www.naukri.com/job-listings-data-analyst-10th-april-virtual-interview-pan-india-tata-consultancy-services-bengaluru-mumbai-all-areas-india-7-to-12-years-090426005873,2026-04-10 13:01,"Power Bi, Tableau, Data Analytics, Bi, Interviewing, Data analysis, Pan, Analytics  Data Analyst - 10th April - Virtual Interview - Pan India","data analysis, power bi, tableau",Pan India,,,,7.0,12.0,9.5,Other
Data Analyst,Allegis Group,8-13 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru","Data Analysis, Risk Compliance, Regulatory Compliance, Credit Risk Analysis, Stakeholder Management, Data Analytics, Governance, Regulatory",1 day ago,https://www.naukri.com/job-listings-data-analyst-allegis-group-hyderabad-pune-bengaluru-8-to-13-years-080426018380,2026-04-10 13:01,"Data Analysis, Risk Compliance, Regulatory Compliance, Credit Risk Analysis, Stakeholder Management, Data Analytics, Governance, Regulatory  Data Analyst","data analysis, stakeholder management",Hyderabad,,,,8.0,13.0,10.5,Other
Data Analyst,Careernet,2-5 Yrs,20-27.5 Lacs PA,Remote,"SQL, Python, Data Analytics, Analytics, Data analysis, Data",1 day ago,https://www.naukri.com/job-listings-data-analyst-careernet-bengaluru-2-to-5-years-090426031675,2026-04-10 13:01,"SQL, Python, Data Analytics, Analytics, Data analysis, Data  Data Analyst","data analysis, python, sql",Remote,20.0,27.5,23.75,2.0,5.0,3.5,Other
Data Analyst,Moveinsync Technology Solutions,1-3 Yrs,5-10 Lacs PA,Bengaluru,"Data Analysis, Data Analytics, Python, Analysis, Analytics, Data",1 day ago,https://www.naukri.com/job-listings-data-analyst-moveinsync-technology-solutions-bengaluru-1-to-3-years-090426026159,2026-04-10 13:01,"Data Analysis, Data Analytics, Python, Analysis, Analytics, Data  Data Analyst","data analysis, python",Bengaluru,5.0,10.0,7.5,1.0,3.0,2.0,Other
Data Analyst-SQL+Power BI+Alteryx-Australian shift,PwC Service Delivery Center,5-9 Yrs,Not disclosed,"Kolkata, Hyderabad, Bengaluru","Power Bi, Alteryx, Data Analytics, Reporting, SQL, Bi Tools, Bi, Analytics",Today,https://www.naukri.com/job-listings-data-analyst-sql-power-bi-alteryx-australian-shift-pwc-service-delivery-center-kolkata-hyderabad-bengaluru-5-to-9-years-100426000179,2026-04-10 13:01,"Power Bi, Alteryx, Data Analytics, Reporting, SQL, Bi Tools, Bi, Analytics  Data Analyst-SQL+Power BI+Alteryx-Australian shift","data analysis, power bi, reporting, sql",Kolkata,,,,5.0,9.0,7.0,Other
Analyst/Data Analyst - Val Rsch,eClerx,0-2 Yrs,Not disclosed,Coimbatore,"linguistics, language teaching, data analysis, data analytics, analytical, data validation, verbal communication, problem solving",2 weeks ago,https://www.naukri.com/job-listings-analyst-data-analyst-val-rsch-eclerx-services-ltd-coimbatore-0-to-2-years-270326012951,2026-04-10 13:01,"linguistics, language teaching, data analysis, data analytics, analytical, data validation, verbal communication, problem solving  Analyst/Data Analyst - Val Rsch","communication, data analysis, problem solving",Coimbatore,,,,0.0,2.0,1.0,Other
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 day ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-090426032390,2026-04-10 13:01,"Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis  Data Analyst","data analysis, google sheets, power bi, sql",Pimpri-Chinchwad,2.75,5.0,3.88,0.0,2.0,1.0,Other
Data Analyst,Provab Technosoft,3-5 Yrs,Not disclosed,Gurugram,"Data Science, Amazon QuickSight, Power BI, Javascript, Data Analytics, data modelling., Power Query, Quicksight",1 day ago,https://www.naukri.com/job-listings-data-analyst-provab-technosoft-gurugram-3-to-5-years-080426019785,2026-04-10 13:01,"Data Science, Amazon QuickSight, Power BI, Javascript, Data Analytics, data modelling., Power Query, Quicksight  Data Analyst","data analysis, data modeling, power bi, power query",Gurugram,,,,3.0,5.0,4.0,Other
Data Analyst (Walk in Interview),Wyzmindz Solutions,0-1 Yrs,1.25-3 Lacs PA,Bengaluru,"Power Bi, Data Analytics, Bi Tools, Tableau, Bi, Interviewing, Data analysis, Analytics",2 weeks ago,https://www.naukri.com/job-listings-data-analyst-walk-in-interview-wyzmindz-solutions-bengaluru-0-to-1-years-270326011326,2026-04-10 13:01,"Power Bi, Data Analytics, Bi Tools, Tableau, Bi, Interviewing, Data analysis, Analytics  Data Analyst (Walk in Interview)","data analysis, power bi, tableau",Bengaluru,1.25,3.0,2.12,0.0,1.0,0.5,Other
