skill,job_count,pct_of_jobs
data analysis,777,77.7
power bi,315,31.5
sql,273,27.3
python,205,20.5
data visualization,117,11.7
excel,104,10.4
data quality,103,10.3
machine learning,75,7.5
tableau,70,7.0
data modeling,68,6.8
reporting,63,6.3
data governance,35,3.5
communication,29,2.9
mysql,25,2.5
snowflake,23,2.3
etl,21,2.1
stakeholder management,20,2.0
statistics,20,2.0
azure,20,2.0
gcp,18,1.8
git,14,1.4
databricks,13,1.3
aws,11,1.1
problem solving,9,0.9
r,9,0.9
dashboard,8,0.8
numpy,7,0.7
hive,7,0.7
google sheets,6,0.6
bigquery,6,0.6
data pipeline,6,0.6
scala,6,0.6
postgresql,6,0.6
qlikview,6,0.6
jira,6,0.6
metrics,6,0.6
redshift,5,0.5
sql server,5,0.5
mongodb,5,0.5
presentation,5,0.5
kpi,5,0.5
deep learning,5,0.5
dax,4,0.4
airflow,4,0.4
hadoop,4,0.4
pandas,4,0.4
power query,3,0.3
spark,3,0.3
data warehouse,1,0.1
oracle sql,1,0.1
data lake,1,0.1
tensorflow,1,0.1
pytorch,1,0.1
keras,1,0.1
confluence,1,0.1
